pt,eta,phi,m
65132,24163.1,-1.64211,-0.652153
635969,624221,-0.179493,-1.37464
71410.8,70665.1,0.0458201,-2.75481
939069,802111,-0.564104,-1.05467
250447,143057,1.15229,1.24668
125673,77454.1,1.04505,2.50687
143959,63718.2,1.45322,-0.14141
396829,225696,1.14958,-1.55265
424475,118979,1.94344,-2.37027
380811,110318,1.90491,2.7614
101234,98116,-0.122238,-1.58272
257287,55593.6,2.21265,1.43332
693332,639767,-0.379137,-3.1009
88203,85298.1,-0.0512157,2.49489
161509,50079.3,1.83468,-2.43968
59449.3,34314.2,1.14471,2.33066
33520.4,31747.2,0.281103,-2.92081
847274,565362,-0.958979,2.39239
817797,288271,-1.70257,1.06546
169875,91315.8,1.22458,1.73658
66972.1,47873.2,-0.860615,0.803692
54666.2,33699.3,1.05177,-2.4859
1.13745e+06,1.10729e+06,-0.140697,2.33781
1.15263e+06,949272,0.642149,2.98984
231515,163132,0.871893,0.619422
587972,576259,0.168843,0.707137
475650,244169,-1.28346,-2.89733
237520,194755,-0.646488,-2.03799
3.09061e+06,523844,-2.46077,-0.13151
377030,323194,-0.564384,-2.22346
240526,187600,-0.730027,-0.526846
1.13569e+06,940577,-0.613722,1.36916
305899,299558,0.0106238,-2.03714
986854,290740,-1.89236,-2.79447
665545,597504,0.456116,0.758588
522056,503118,-0.258534,0.932881
449142,383239,0.531749,-3.08561
124054,55278.2,1.44192,-2.4536
257578,43147.1,-2.47214,0.850446
604552,501471,0.62602,-0.123938
440042,411462,0.324223,1.52627
367810,328892,-0.433778,2.91878
199068,179879,-0.432152,-2.63153
630732,79342.8,2.76205,2.66883
73286.2,72398.6,-0.119697,2.19898
554443,330128,1.10528,0.271918
572476,167424,-1.89974,0.830702
207339,61315.2,-1.88775,-1.56645
178438,55723.3,1.82928,2.89069
811390,537372,0.970429,2.49082
494899,308467,1.04464,-0.401525
675531,672653,-0.0325092,-0.124841
1.98752e+06,624041,-1.82425,-2.07476
373375,368341,-0.0232793,0.138359
134227,131350,-0.163187,-2.68528
431956,417991,-0.239262,1.77778
146733,143490,0.153638,-1.28742
295716,97052.3,1.77643,0.111536
49837.2,41749.7,-0.610822,-2.7145
1.08096e+06,1.07706e+06,-0.0476361,-2.53769
191451,185463,-0.0191057,2.72283
261102,258746,0.0801147,-2.53051
284168,239764,0.595205,-2.2059
828170,795974,-0.275551,1.98904
198555,163582,0.630796,-0.802512
320963,186968,1.12172,1.33158
201503,181515,0.377812,-1.64551
214556,160322,-0.749744,0.443969
194313,100488,1.26785,-1.92788
71201,70210.7,-0.084809,-0.740573
58098.2,43664.7,0.774756,0.344586
871399,612405,-0.888767,-0.130626
148500,59811.7,-1.55783,0.411444
551333,463791,-0.604903,-1.08818
209115,190300,0.432826,2.11745
531791,326286,1.06588,-2.86267
535252,188271,1.69945,0.959454
996654,265625,-1.99541,-2.33127
449250,238469,-1.24409,1.67824
688262,432632,-1.03921,0.800247
278041,215509,-0.71836,-2.10944
144032,99584.2,0.912382,1.78545
92919.9,89270.1,-0.264213,-2.26693
938098,666243,-0.873225,-1.00665
131511,114966,0.460088,-0.908603
104802,99054.8,0.318908,2.2601
88319.4,46661.3,1.24989,-1.46326
1.962e+06,852500,1.47564,1.70201
1.46548e+06,1.05433e+06,0.853151,-0.59693
248649,236226,-0.300489,2.52447
121969,78162.3,-0.990537,1.11528
569896,438480,0.750977,1.97296
683098,373889,1.20783,1.48542
318497,58039.6,2.38695,-0.391482
512572,266424,1.2706,-2.99867
244632,237331,0.191181,1.07185
413288,152109,1.65647,-1.97849
123224,46416.4,1.62666,-0.116062
316944,80277.3,-2.04819,-2.75423
235049,62615.9,1.99664,0.673697
226749,52835.5,-2.13377,-1.76492
880756,552297,-1.03536,-2.42085
1.01402e+06,54090.8,-3.62338,-1.79706
38642.6,36100.8,-0.343198,-2.21577
405189,369808,0.384616,0.328319
408391,288103,-0.878849,0.33918
956285,85453.6,-3.10606,-1.57223
252433,38936.2,-2.55621,-2.06421
275249,210634,0.736069,-2.15294
687833,184569,-1.98942,-1.83086
210396,130724,1.05052,2.70098
695382,107387,-2.55409,-0.154771
126059,59659.7,1.37405,-1.51498
1.78814e+06,48420.5,4.30195,-2.7494
1.16784e+06,782470,0.953138,-1.19631
691843,666213,0.0468297,3.09695
638461,429577,-0.945772,2.68329
220595,101583,-1.40428,1.44304
1.15072e+06,366155,1.81136,2.75327
349606,346775,0.100226,-2.19095
206345,101318,1.32814,1.89042
438251,57616.3,-2.71726,-1.74569
98706.2,50560.8,-1.28765,-1.77766
62294.3,36648.5,1.11657,2.55987
158285,34376,-2.20761,-1.17888
1.34989e+06,720208,-1.23904,-2.55574
776209,756365,-0.225137,-2.52608
591943,52325,-3.11683,0.16486
222159,30698,2.66687,-0.225103
621672,527059,0.57735,-1.71114
581988,492617,-0.546625,-1.24168
666905,178724,1.99015,-1.38478
959478,878806,0.411561,0.416042
1.35486e+06,845539,-1.04769,1.86662
1.04896e+06,742608,0.877438,0.077101
609970,189500,1.83586,2.08903
373759,363783,-0.155167,0.163306
395415,93812.4,2.11598,-0.47121
426902,69221.2,-2.50543,2.25231
118130,51382.5,-1.4673,1.29397
793304,756411,0.306931,-1.43156
616643,615194,0.0273263,0.0236937
1.52219e+06,1.45802e+06,-0.265154,-2.55473
149935,109264,0.83243,-0.323393
700951,616924,-0.492079,-2.73783
149889,47839.2,-1.80659,-3.10503
95136.9,34363.5,-1.67195,-0.153646
968940,349356,1.67902,1.60602
657029,475395,-0.837714,-0.969987
176236,65146.7,-1.64961,-2.09314
92286.1,49368.9,-1.22119,1.25452
757869,692091,0.430596,1.37823
330915,194723,1.11478,-2.07464
647506,614089,-0.321487,-0.100172
441853,435505,0.0726931,-1.29143
428266,351884,-0.636232,-0.872046
381525,218365,1.15244,-0.386648
836273,125025,-2.58727,-2.36216
764170,739096,-0.245307,-0.0215035
42051.6,33010.7,0.703782,-0.697285
1.06601e+06,917508,0.557292,-1.87939
727938,441128,1.07861,1.3534
478977,402139,0.591304,-0.100758
309630,106561,-1.72798,-1.83996
180726,98655.3,1.2011,2.52326
129365,86041.6,-0.961507,2.71649
455392,454407,0.0320016,-2.85832
182592,71456.5,1.58722,2.42323
78163,63331.2,-0.670961,-0.663817
541382,491913,0.437556,1.15445
566356,74275.9,2.72004,-0.473683
873122,820275,-0.330542,-0.377934
93079.2,92333.6,0.0434347,-1.85062
57355.2,35613.6,-1.03726,-2.05118
31840.8,31278.9,-0.00155615,0.985361
637291,592248,-0.377361,2.47907
505367,100636,-2.29646,-0.558175
119349,77840.5,0.980509,3.05211
54595.4,50572.8,0.334658,-0.537177
39474.5,38703.1,0.0600959,1.62406
49848,30983.8,1.03979,-1.19875
1.45819e+06,777204,1.2411,-2.95047
102477,96748.5,-0.284565,-1.49026
601287,353596,-1.11438,1.61963
243600,80431.3,1.77213,-1.60159
222570,73960.1,-1.7636,1.03784
694934,57819.2,3.1776,3.1106
46324.2,43176.7,0.352846,-2.72577
476827,355989,-0.79186,3.08441
510063,181280,-1.68832,1.03176
55560.1,41475.2,0.790355,2.2554
550597,486428,-0.417473,0.0982263
471244,461046,0.168398,1.48564
51730.4,40047.1,-0.744908,-1.96463
733495,725667,0.0922516,-1.61407
1.03098e+06,834353,0.658614,-2.21991
513739,84387.1,-2.49237,-1.88566
116227,83002.1,-0.848601,2.67251
800758,533471,0.94987,-1.99364
202810,130086,-1.01215,1.9998
71565.1,67734.1,0.249815,-1.28696
254859,252062,0.0731638,-1.23312
648083,202613,-1.82926,1.1605
422595,192085,-1.42357,-0.618125
243551,34013.2,-2.6566,2.24728
691545,387267,-1.17172,-0.603463
175755,174365,0.00556098,-1.33049
68572,65188.5,-0.297264,-0.632614
818518,621528,0.765883,-1.12161
475528,142725,-1.87111,-1.44696
92811.3,83836.5,-0.404789,1.26056
942999,400279,1.49838,-1.97158
154323,139573,0.440022,-1.20289
77702.5,56682.1,0.830174,-2.1775
616269,385551,-1.04443,0.728108
152060,147257,-0.23436,-2.55914
1.10302e+06,988775,-0.464755,0.991927
463600,449179,0.184739,-0.483491
342560,201153,-1.11537,-0.913197
154970,76245.9,-1.33397,2.10039
426036,393156,-0.373693,1.89444
307145,295915,0.24454,2.64865
587800,60860.8,2.95767,1.53994
592513,546602,-0.359143,-0.698308
295832,228475,-0.737344,-1.22655
831220,812716,0.151364,-1.41372
119378,115334,0.178059,2.15882
117217,104695,-0.425572,2.12282
160922,100540,-1.04438,2.02814
684684,452840,-0.971143,-2.53325
173140,105226,1.0785,0.939666
382518,87965.4,2.14884,0.170522
801283,385765,-1.35927,3.04698
259683,118429,-1.41849,1.22359
115041,99770.6,-0.52826,-1.34543
963525,467124,-1.34745,2.50306
183416,104355,-1.15106,1.58943
504387,98459.4,-2.31653,-1.42176
2.08784e+06,842305,-1.55646,-0.398582
223144,223018,0.011083,-1.37201
408232,332687,0.655832,-0.219146
215386,142697,-0.966926,0.432731
1.12723e+06,591478,1.25495,-1.83765
119628,117692,0.0853044,-2.62091
113446,100874,0.473024,-1.53712
777959,670949,0.527352,2.35002
823031,782541,-0.242395,-2.19177
294333,134929,1.41091,-2.24736
907861,848015,-0.363304,2.69419
2.1968e+06,771633,-1.70588,2.90063
365810,32684.8,-3.10625,0.23811
1.69126e+06,423865,2.0607,-1.48633
325687,192771,1.11426,0.644843
330145,92523.4,1.94316,2.55632
501466,494561,0.0221823,0.428808
422989,123865,1.899,-0.282146
60802.2,55950.9,-0.388008,0.894938
656311,625469,-0.295281,-0.395493
1.07087e+06,864780,-0.671924,-1.21472
175561,88358,-1.30788,1.61847
377734,370609,-0.153076,-1.18676
192594,161615,-0.596943,-0.776198
163400,91859.3,1.14829,1.22922
280431,66906.4,2.10918,0.966081
220219,29022.2,2.71447,2.83981
573209,458452,0.664893,2.53633
126073,123659,0.0592111,-1.17666
219714,121397,1.19537,-3.03792
1.85377e+06,899699,1.35104,1.9194
114870,108591,-0.248476,0.668184
1.24732e+06,461072,-1.65185,0.848742
153153,78200.4,-1.29099,-2.4526
441639,435130,-0.0693699,1.81625
1.25171e+06,259505,-2.25534,0.876359
1.25004e+06,633589,-1.30112,-0.0301448
202758,150872,-0.802396,-2.5799
1.60875e+06,1.09294e+06,-0.934905,0.40879
215159,203361,-0.303793,-2.60749
506896,96890.5,2.33758,1.62742
210662,87561.4,-1.51966,-2.03783
58384.3,56802.7,-0.181557,2.29934
264033,34969.8,-2.7096,2.35914
473903,433046,0.379748,-0.738465
204142,202290,-0.102694,1.6461
162515,70291.5,1.47913,-0.547586
623273,484711,-0.736012,1.79383
499327,400259,-0.680586,-1.77668
417978,376063,-0.462731,-2.64895
765010,311224,-1.54225,1.0523
686402,562934,0.649762,-0.812255
139937,71899.7,-1.28118,1.9862
61857.7,59134.4,-0.223034,0.639008
40414.8,32228.2,0.6798,0.688306
708326,544009,0.738883,2.36977
145692,69000.1,1.37409,2.50473
350001,29821.4,-3.15381,-0.179134
422602,413918,0.125097,0.679341
411382,116525,-1.93272,1.28798
181902,83050.3,1.41414,-0.895791
600112,584516,0.205659,-0.12375
602307,591205,-0.127521,-1.13099
1.6605e+06,476244,1.92011,-2.71321
107875,81165.7,-0.753041,0.990585
756541,456912,1.08696,0.935451
431523,271399,-1.03707,1.41209
610035,127010,-2.24996,1.49683
165175,43956.1,-1.99705,2.37086
598408,590206,-0.150373,-2.56216
275804,266963,0.249111,0.942158
271556,270612,0.0328688,-2.22831
841805,202568,-2.10223,-2.69739
122528,106201,0.540575,-1.32928
105285,92323.4,-0.517882,0.569103
1.80722e+06,708933,1.58712,-0.839384
340819,319355,0.355849,2.39376
522977,98724.4,2.3511,-0.712813
617573,543141,0.482215,-2.25519
90256.1,85718,-0.258243,1.69877
613180,605162,0.0252245,2.60735
376604,289658,0.75097,0.0599483
100295,31742.9,-1.81503,0.183914
1.00985e+06,901898,0.483896,-0.648245
93540.7,76257.9,-0.658226,-0.742271
150286,38693.5,-2.03214,0.924253
656536,410165,-1.0202,0.930393
127593,108821,0.561506,-2.34979
390119,105404,1.98073,2.31329
113967,91737.3,-0.676313,-0.201416
62083.5,43298.7,-0.880675,1.60767
455082,445224,0.203318,2.03547
322957,318863,-0.0875317,-0.437931
169519,167346,-0.125502,0.279514
405799,144113,1.69174,-0.488585
168284,133303,0.660447,2.41627
335725,109932,-1.78003,-2.23051
244200,79518.3,1.78614,0.274028
794656,504292,1.02626,1.82688
316834,305174,0.220052,2.26622
1.17686e+06,1.14269e+06,0.147058,1.05655
684375,672467,-0.155075,-1.2088
235890,230865,0.190981,-0.282113
133505,133050,-0.0372833,-1.88432
491652,116802,2.11525,-0.665974
730259,472069,-1.00222,1.33788
98103.3,94885.2,0.0273616,1.16604
995005,433569,1.47218,-1.87024
690550,211451,-1.84806,1.96044
66074.1,63988.5,0.0672952,2.14543
41262.8,26424.3,1.00601,0.697169
1.24484e+06,613821,1.33179,-1.09766
409734,385101,0.328983,2.29832
544512,74651.4,2.67488,-1.20422
1.33105e+06,501596,1.62888,-1.92125
65301.3,62624.3,0.224067,-1.04697
798634,336424,1.50725,1.26506
166526,94130,-1.15912,-0.37527
145921,86995.5,1.0948,0.353934
54830.8,50924.8,0.369603,1.7035
498733,494539,-0.0867759,2.1447
340554,89046.8,-2.0152,-0.932404
1.641e+06,1.47113e+06,-0.461813,-2.63923
58260.1,41444.1,0.851701,-2.29113
561993,535014,0.218095,-0.0850487
76944.4,50817.8,-0.960799,-2.17047
659898,594922,0.446563,-2.68257
550307,421115,-0.762199,2.07182
310304,209941,0.937382,-1.91149
974961,59431.3,3.48976,-2.74419
1.19073e+06,1.17403e+06,-0.144937,1.28831
996285,985096,-0.0183745,-1.90118
491240,282643,1.14782,0.620169
1.11771e+06,1.02707e+06,-0.390933,-0.450733
72584.1,65856,-0.44219,2.2636
1.68005e+06,1.36676e+06,0.659438,2.3074
550070,498046,0.451239,-0.567145
830071,758571,0.427934,0.969091
492621,478525,0.239532,0.452836
155625,114949,0.809188,3.00977
461684,409278,0.498872,2.87293
794710,240939,1.86205,0.9867
265317,224047,-0.595617,-2.76185
681970,51188.3,-3.28117,0.340621
327646,303492,0.391865,2.86867
752597,285416,-1.6225,2.29215
239270,154781,-0.97298,-1.83642
988391,901799,-0.432034,2.0616
400663,274430,0.901728,-0.564574
321144,292770,-0.429088,-1.08409
256203,239654,0.340522,-1.87165
162988,127127,0.729881,2.3023
363343,146759,1.55297,-0.815117
142107,123074,-0.537539,-0.567683
487954,107162,2.19536,0.72084
148492,99377.7,0.947801,-0.168555
92717.4,91167.5,-0.0790207,-1.16146
77606.1,71501.4,0.400909,2.03691
1.06549e+06,591690,1.19164,0.25701
564101,282797,1.31132,1.53166
1.12251e+06,524878,1.39252,-2.50997
75684.5,62773.6,0.617365,-2.54866
320682,51373.3,2.51746,-2.21069
556288,536763,-0.219345,2.7515
1.2916e+06,79762.3,-3.4767,-0.25058
599116,433708,-0.846812,-0.152741
198194,69244,1.70434,1.7863
39010.8,38523.5,-0.00459434,-1.96491
653104,36583.2,3.57445,1.87428
1.22415e+06,411411,-1.75324,0.986534
411785,410850,0.0459915,-2.89387
241089,149817,1.04628,-2.76751
770649,725843,-0.337286,2.18167
83352.9,63657.2,-0.742381,1.01912
312624,296508,-0.322288,-2.50277
269432,268779,0.0329392,1.11322
366845,363144,-0.071594,-2.08838
352537,183619,-1.26175,2.32675
64779.6,40506.4,-1.03155,-2.7516
251518,242113,0.272162,2.94832
611037,216858,-1.695,1.83718
346739,173048,-1.31871,1.33526
158141,85843.1,1.21789,0.757368
630769,428745,-0.921632,-0.634937
161788,153427,0.306384,1.96868
85468.9,53619,-1.02243,-2.21974
896905,704969,0.712704,-2.64245
213026,153632,0.851359,-1.38539
207519,74550.2,-1.68226,0.829817
673694,638263,0.322924,0.529334
493018,221798,1.42236,2.975
50350.5,39573.2,0.69011,1.98083
66325.5,26968.8,-1.54401,1.63345
471803,409676,0.515767,-0.431119
507448,81320.5,-2.51655,-2.62855
125155,80066.4,0.98759,0.0821093
590220,74972.7,-2.75206,-0.557095
210163,72295,1.7283,1.86108
422276,420194,0.084186,1.51021
533010,383330,0.855743,-0.786929
638028,196282,1.84704,0.476335
97224.2,89774.6,-0.373498,-0.462811
709842,533712,-0.77863,2.07231
680837,122554,-2.39927,3.10226
171627,67304.5,1.58638,0.571245
45696.3,44857.9,0.190621,-0.973415
150434,44645.4,-1.88175,2.22593
94406.6,41502.7,1.45568,-0.706079
1.04811e+06,622202,-1.10943,-1.09771
1.16052e+06,518792,1.44271,-1.0488
638513,434102,0.928505,2.02092
390836,343861,0.499069,2.46304
294659,289198,-0.146163,-2.49749
958153,283476,1.88476,3.03615
191943,50967,-1.9999,-1.86525
922092,767811,-0.615981,-1.75557
196915,183026,0.33506,0.297196
1.2906e+06,114981,3.10887,0.560013
753993,586474,-0.733122,-1.58848
668775,300451,-1.43713,-2.98523
219868,50126.1,2.15735,0.987178
600632,523191,-0.524365,2.94298
508521,496539,0.0384329,2.48205
302225,138023,-1.40883,2.46666
876929,535744,1.07325,-0.652498
569334,426071,-0.756285,1.21243
205626,169963,0.612815,-1.54688
675707,495082,0.816705,1.28669
706019,587980,0.5481,2.57635
806932,744104,-0.398107,-2.87704
323073,113742,1.70396,0.425759
136914,112003,0.642433,-0.512605
856429,606647,0.859264,-1.48535
701878,64080.7,-3.0846,0.374499
851473,597803,-0.888767,-1.57285
648130,630435,0.0491432,-2.66933
366190,199928,-1.2132,-0.263596
401878,122884,-1.85266,2.41279
380072,377633,-0.109184,-0.951335
330881,183882,-1.18992,2.37296
457839,69374.7,-2.57318,-1.06266
885710,873205,-0.0471672,-3.04223
659508,576573,-0.524813,-1.76629
312830,194204,-1.05377,3.07659
178918,145267,0.641227,2.97058
165994,69349.3,1.51768,2.37501
1.43275e+06,543430,-1.62418,1.67293
65449.3,61050.2,-0.363819,-0.348985
224679,41579.9,-2.37058,-2.87323
504877,483784,-0.277632,-2.01338
117559,60865.4,1.27001,-0.707336
46350,35150,0.771299,2.73584
357663,288134,0.677437,-1.33686
791846,206668,2.0183,0.395676
187062,92985.7,-1.31729,-1.81811
81750.2,78791.1,-0.230082,1.91923
48626.5,46038.7,-0.286484,-1.45849
2.52076e+06,1.70709e+06,-0.941006,0.679899
543703,473835,0.508198,-1.53875
240725,221645,-0.386927,0.634144
198969,196068,-0.144603,-2.50418
186142,166959,-0.414054,1.77061
432686,421783,-0.148534,0.537094
187752,139934,-0.797657,1.44424
111952,94593.6,-0.596216,-0.778249
441136,407182,-0.34571,0.746683
497062,225970,-1.42368,-0.893412
310430,204109,-0.974043,-0.22442
1.82149e+06,1.21532e+06,-0.958149,0.336531
202852,180767,-0.440841,-2.87774
2.24697e+06,83679.8,3.98313,1.89985
103322,40843.9,-1.57599,-3.09679
1.32405e+06,868625,0.979285,0.951445
629559,433588,0.914986,-2.00392
132848,83185.2,-1.01974,-2.10287
252940,239110,-0.0142824,0.230701
245884,229012,-0.265964,-2.81862
135401,117459,0.534527,3.11861
184483,71265.5,1.59811,-2.12814
140237,48063.2,-1.73017,-2.6524
55891,36573,-0.977783,1.05376
43225.3,35304.1,-0.599801,-2.08688
1.72833e+06,1.61969e+06,-0.354887,2.55386
77606.7,65090.2,0.597815,-2.6881
1.01607e+06,881541,0.541083,-2.25852
136377,122535,-0.316526,2.06875
870891,858684,0.0980349,-2.54641
1.01624e+06,795587,-0.698418,-1.53297
636496,563984,0.476529,1.92624
527517,322619,1.07149,-0.99421
102071,61488.5,1.08659,1.7155
972546,881084,0.386305,0.28864
544367,413123,0.764886,-2.56283
422091,407926,-0.206925,2.09827
750154,608654,0.666592,0.227851
213050,152925,-0.854181,-0.507151
1.00557e+06,395362,-1.58327,-0.735616
356131,142022,-1.56896,2.20244
40010,31880.5,0.699775,-2.6152
70331.5,27130.7,-1.60447,1.45791
488129,452666,0.363224,-2.78801
343283,314197,-0.402578,-0.56276
90061.6,58150.8,0.990204,-2.40793
650387,515220,0.703663,-1.70165
278889,275438,0.146544,1.37315
320204,269502,0.56003,2.53833
330049,119216,-1.67648,0.403293
43963.1,43662.4,0.0398253,3.12777
805285,769096,0.3018,-0.611049
596788,241374,1.55415,-2.50857
207384,203096,0.0558017,-0.469886
289752,190472,0.976084,0.733727
177129,63347.5,1.67994,-0.655934
129589,43668.3,1.74932,1.9818
734030,341126,-1.39167,-0.0132053
393919,255517,0.997318,0.746435
1.06195e+06,658262,-1.0554,0.772973
731750,589808,-0.678223,0.902898
726461,707230,0.168499,-2.92311
337473,323196,-0.263191,0.85546
733368,163935,2.17785,2.91237
59295.8,50361.1,-0.580622,0.215113
54816.3,50329,0.407685,-1.04161
266306,42507.8,-2.52111,-1.01801
482530,37091.4,3.25719,-1.30739
296349,291810,0.166046,-2.99139
143712,137099,0.278972,2.66017
112509,97436,0.516429,1.78502
110002,71863.4,-0.982408,2.69382
362853,346137,0.233725,1.1076
161122,138196,-0.553736,1.10175
159047,135372,0.56356,-2.09602
117793,98608.9,0.610189,0.0532092
104044,37184.6,-1.68639,0.376941
560119,519409,-0.344448,-2.55493
132445,103335,-0.733244,2.50529
1.26669e+06,282452,2.18029,-0.674174
356363,272267,0.763163,-3.00383
432328,151852,1.70636,-0.228453
792195,410568,-1.27334,-2.49424
488612,236270,-1.35219,-0.400839
53214.8,51794.3,0.129172,2.86057
454292,415315,-0.412347,2.96772
551824,304965,1.19753,2.73929
425203,349044,-0.644003,-2.78713
156738,119561,0.741105,-1.4349
104350,67327.3,-1.0035,-1.34674
75119.3,49452.5,-0.96097,-0.213628
466358,444693,0.276362,-2.2218
627623,145511,-2.1404,-1.96478
151929,115562,-0.758924,1.96139
79673.8,58713.2,0.806395,-0.688751
777047,50669.3,-3.42212,1.39221
58699.7,44444,-0.742607,-2.00885
260794,38290.5,-2.60554,2.07218
724038,179043,-2.0736,-0.214826
176660,175351,-0.0391547,-0.0785546
272733,129146,-1.36573,1.82474
115026,102064,-0.467893,1.88863
99394.5,86419.8,0.516023,0.268291
580678,494402,0.570576,-1.04908
910571,474985,1.26731,2.1326
190462,185661,0.203799,-0.294255
690153,634775,-0.412278,-1.65295
277450,144899,1.26278,2.74996
1.57284e+06,1.10142e+06,-0.885693,2.76815
279315,259386,-0.380471,-0.254745
134878,121766,0.449067,0.973887
106413,98137.5,0.394059,-2.82263
1.72246e+06,973774,1.16693,1.28805
447742,444964,-0.0829064,-2.88063
1.52232e+06,125138,-3.18981,-0.824429
652689,629266,-0.110498,0.997947
595419,164812,-1.95621,1.28286
127992,31933.9,2.06387,-1.10417
975252,732231,-0.788818,3.02153
374585,195516,-1.26545,-1.8132
887445,881689,0.058724,2.40355
435036,337889,0.728527,-1.12474
331142,157116,1.37546,-1.35045
207205,199795,-0.105245,-1.67965
197515,193329,-0.173265,-0.912849
178042,167931,-0.329251,2.86061
32747.5,27442.3,0.600531,-1.1239
700565,674671,-0.25938,2.87181
82602.2,78794.3,-0.264583,-0.15832
396906,37444.5,3.05164,0.136041
1.4041e+06,843724,1.09512,-1.58435
587661,573916,-0.183527,-0.485735
1.22339e+06,1.13865e+06,0.270249,1.38673
407751,222242,-1.21292,-2.17176
74106,72096.8,0.10601,2.24741
920680,690610,0.783877,2.90597
932251,169706,2.3881,0.208899
1.57548e+06,920914,1.12736,2.734
200990,122564,-1.07365,-0.849488
152889,46408.5,-1.85669,0.0409432
242550,42696.2,2.42159,-0.0645989
528123,522549,-0.119636,-0.416825
1.18441e+06,790038,0.957593,1.37884
316290,302903,0.286676,-0.632705
353349,352476,-0.0196238,2.35221
313842,308192,0.087108,0.286923
405397,240986,-1.10792,-0.705296
412546,123197,-1.87705,-2.73689
1.24202e+06,808217,-0.983149,-2.63563
528594,516125,-0.207273,-0.497812
83149.8,70315.9,-0.579244,-2.0845
871539,702543,0.675404,0.519443
610471,601974,0.019891,-0.350668
961500,646286,0.937541,2.88181
918620,879492,-0.280383,0.0589767
159081,157247,0.0608496,-2.46375
79929.1,77952,0.18103,0.841372
387546,33587.1,3.13682,2.09056
4.14372e+06,473407,-2.85913,1.97717
162970,113889,-0.884491,-1.44915
872727,572357,0.95878,1.53262
166564,53352.1,1.80329,2.0266
42436.5,40784.6,0.176046,-1.73957
1.25022e+06,957870,-0.755902,2.5019
122889,47328.8,1.60399,-2.3757
33436.3,32924.2,-0.125118,-0.796175
127817,32226.4,2.05426,-2.76378
717017,714998,-0.0201824,2.53747
151730,94045,1.04858,2.28463
59697.3,58000.1,-0.217572,0.725812
391841,55635.1,2.63954,-0.557761
157946,36321.5,2.14776,-3.12534
429775,35439.8,3.18683,-1.77083
115526,31075.1,-1.98441,-0.852543
334631,300100,0.466631,-1.08499
433269,187174,1.48082,-2.6946
397544,121486,-1.85241,0.748502
37904.2,33451.9,0.495365,-1.9466
362656,276559,0.769518,-0.106125
258396,241146,0.362666,-1.08798
260441,119816,-1.40824,-2.20652
347278,86453.1,-2.0659,-2.47585
141490,36744,-2.02183,0.411282
530117,486183,0.402444,-2.55645
534704,165251,-1.84094,-2.83112
607715,596877,-0.0973643,1.05604
190175,114003,-1.08389,-2.2445
138880,73657.8,-1.24498,1.58743
1.30617e+06,1.29719e+06,-0.0982386,-1.8876
1.91899e+06,62605.7,4.11556,0.44309
806708,526548,0.987563,1.37676
76093.2,71693.5,0.17352,-0.406893
1.544e+06,622185,1.55775,-2.21905
363422,343562,0.335119,-2.61317
1.10961e+06,228257,2.26346,0.635189
435267,339950,0.720071,-0.299641
419097,166195,1.57264,0.0464289
74843.5,62603.6,-0.60462,0.460954
560422,549086,0.149149,3.05997
254829,239659,-0.337535,1.14045
612567,193375,1.81981,1.90839
889573,143264,2.51216,-0.352295
120879,92256.3,-0.760976,0.64291
873308,829079,0.322548,-2.35955
594816,444718,-0.787075,-2.58838
150629,131116,0.537495,-0.9372
105335,61570,-1.12746,-1.86284
41442.2,27426.5,0.961861,-2.87006
663177,554790,0.604368,-0.233698
894944,543791,-1.08006,-2.50179
136158,130980,0.230825,0.279812
1.365e+06,599388,1.46357,2.06786
446246,402392,0.403499,0.0183027
216208,70232.1,1.785,-0.436747
245709,32695.6,2.70525,-3.10542
517763,511136,0.0480083,2.15423
487480,169081,-1.72016,-2.49799
167819,156116,-0.269788,0.982079
208351,63491,1.85582,1.91374
980593,28981.8,4.21437,0.999579
30015.4,26981.2,-0.458316,-2.81565
1.04104e+06,1.00638e+06,-0.168828,-1.16465
839980,320561,1.61588,-1.01476
335102,115126,1.72838,1.79511
99875.7,90413.5,0.419189,0.98994
109490,54071.8,1.32506,-1.73219
1.01453e+06,959985,-0.239224,1.20063
571417,512822,-0.463011,-1.97723
1.22988e+06,453519,1.65477,0.0368408
260066,214130,0.634529,-2.19308
225368,209106,-0.377447,2.70091
101323,71952.3,0.84761,2.26875
64279,43355.8,0.939724,2.98199
92117.2,37608.9,-1.53585,-1.13322
637989,607498,-0.311682,1.0616
491090,37427.4,-3.26577,0.532549
772851,527637,-0.92678,2.46546
116135,44788.6,-1.60381,1.00815
742616,732778,-0.0999995,0.896509
805422,661522,0.645538,-1.02946
83616.6,82732,0.0569562,-2.88411
685062,683649,-0.00795059,-3.09402
141007,93150.1,-0.971671,-1.50779
547010,486282,-0.481841,-1.04946
901628,84573.4,-3.0574,0.350293
1.14577e+06,1.12692e+06,-0.125832,3.11123
262151,258243,-0.153955,-3.04156
308742,187299,1.0802,-2.1546
502447,95067.4,2.34862,3.09269
69545.4,63055.9,-0.319826,-1.38055
622271,335223,1.21749,0.217801
572076,169782,1.88281,1.03936
57370.7,50382.9,0.511356,1.9415
29726.7,29214.6,0.0387489,-2.36121
940962,841631,-0.476144,0.535488
534952,315785,1.1166,-1.53839
508997,202300,1.57213,1.33145
206501,44520.5,2.21517,-0.174331
570349,560906,0.065132,-2.42631
